20000;Sozial- und Wirtschaftswissenschaftliche Fakultät
26100;Center of Health Care Research                                                                                                                                                                          
26200;Forschungsinstitut für Bankenwesen                                                                                                                                                                      
28300;Forschungsinstitut für die Gesamtanalyse der Wirtschaft                                                                                                                                                 
23800;Institut für Angewandte Statistik                                                                                                                                                                       
23810;Abteilung für Datenanalyse und Ökonometrie                                                                                                                                                              
23820;Abteilung für Datengewinnung und Datenqualität                                                                                                                                                          
24900;Institut für Betriebliche Finanzwirtschaft                                                                                                                                                              
24910;Abteilung für Asset Management                                                                                                                                                                          
24920;Abteilung für Corporate Finance                                                                                                                                                                         
23400;Institut für Betriebliche und Regionale Umweltwirtschaft                                                                                                                                                
25100;Institut für Betriebswirtschaftliche Steuerlehre                                                                                                                                                        
25200;Institut für Controlling und Consulting                                                                                                                                                                 
24800;Institut für Digital Business                                                                                                                                                                           
24810;Abteilung für Digital Business Management                                                                                                                                                               
24820;Abteilung für Digital Education                                                                                                                                                                         
22900;Institut für Gesellschafts- und Sozialpolitik                                                                                                                                                           
24100;Institut für Handel, Absatz und Marketing                                                                                                                                                               
24120;Abteilung Business to Business Marketing                                                                                                                                                                
24110;Abteilung Marketing Emerging Markets                                                                                                                                                                    
26700;Institut für Human Resource und Change Management                                                                                                                                                       
28400;Institut für Innovation (IFI)                                                                                                                                                                           
24700;Institut für Internationales Management                                                                                                                                                                 
24750;Abteilung Cross Cultural Management                                                                                                                                                                     
24740;Abteilung International Business                                                                                                                                                                        
26500;Institut für Kulturwirtschaft und Kulturberufsforschung                                                                                                                                                 
28200;Institut für Management Accounting                                                                                                                                                                      
23600;Institut für Neuere Geschichte und Zeitgeschichte                                                                                                                                                       
26600;Institut für Organisation                                                                                                                                                                               
23700;Institut für Philosophie und Wissenschaftstheorie                                                                                                                                                       
24500;Institut für Produktions- und Logistikmanagement                                                                                                                                                        
24300;Institut für Public und Nonprofit Management                                                                                                                                                            
23200;Institut für Pädagogik und Psychologie                                                                                                                                                                  
23240;Abt.f.Arbeits-, Organisations- u.Medienpsychologie                                                                                                                                                      
23220;Abteilung für Sozialpsychologie, Personalentwicklung und Erwachsenenbildung                                                                                                                             
23250;Abteilung für Wirtschafts- und Berufspädagogik                                                                                                                                                          
23210;Abteilung für Wirtschaftspsychologie                                                                                                                                                                    
23500;Institut für Sozial- und Wirtschaftsgeschichte                                                                                                                                                          
23100;Institut für Soziologie                                                                                                                                                                                 
23110;Abteilung für Empirische Sozialforschung                                                                                                                                                                
23140;Abteilung für Politik- und Entwicklungsforschung                                                                                                                                                        
23130;Abteilung für Theoretische Soziologie und Sozialanalysen                                                                                                                                                
23120;Abteilung für Wirtschafts- und Organisationssoziologie                                                                                                                                                  
26900;Institut für Strategisches Management                                                                                                                                                                   
28100;Institut für Unternehmensgründung und Unternehmensentwicklung                                                                                                                                           
